Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Column,Rule: Relation,Rule: Condition
dolce-gabbana,MERGE,Dolce & Gabbana,<p>Discover the Dolce & Gabbana collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Dolce & Gabbana
brunello-cucinelli,MERGE,Brunello Cucinelli,<p>Discover the Brunello Cucinelli collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Brunello Cucinelli
guess,MERGE,Guess,<p>Discover the Guess collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Guess
calvin-klein,MERGE,Calvin Klein,<p>Discover the Calvin Klein collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Calvin Klein
tommy-hilfiger,MERGE,Tommy Hilfiger,<p>Discover the Tommy Hilfiger collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Tommy Hilfiger
north-sails,MERGE,North Sails,<p>Discover the North Sails collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,North Sails
mario-valentino,MERGE,Mario Valentino,<p>Discover the Mario Valentino collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Mario Valentino
guess-jeans,MERGE,Guess Jeans,<p>Discover the Guess Jeans collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Guess Jeans
norway-1963,MERGE,Norway 1963,<p>Discover the Norway 1963 collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Norway 1963
valentino-garavani,MERGE,Valentino Garavani,<p>Discover the Valentino Garavani collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Valentino Garavani
desigual,MERGE,Desigual,<p>Discover the Desigual collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Desigual
dsquared,MERGE,Dsquared²,<p>Discover the Dsquared² collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Dsquared²
max-mara,MERGE,Max Mara,<p>Discover the Max Mara collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Max Mara
u-s-grand,MERGE,U.S. Grand,<p>Discover the U.S. Grand collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,U.S. Grand
cavalli-class,MERGE,Cavalli Class,<p>Discover the Cavalli Class collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Cavalli Class
polaroid,MERGE,Polaroid,<p>Discover the Polaroid collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Polaroid
prada,MERGE,Prada,<p>Discover the Prada collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Prada
michael-kors,MERGE,Michael Kors,<p>Discover the Michael Kors collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Michael Kors
versace,MERGE,Versace,<p>Discover the Versace collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Versace
napapijri,MERGE,Napapijri,<p>Discover the Napapijri collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Napapijri
victoria-beckham,MERGE,Victoria Beckham,<p>Discover the Victoria Beckham collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Victoria Beckham
emilio-pucci,MERGE,Emilio Pucci,<p>Discover the Emilio Pucci collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Emilio Pucci
gucci,MERGE,Gucci,<p>Discover the Gucci collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Gucci
pinko,MERGE,PINKO,<p>Discover the PINKO collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,PINKO
fila,MERGE,Fila,<p>Discover the Fila collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Fila
saint-laurent,MERGE,Saint Laurent,<p>Discover the Saint Laurent collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Saint Laurent
moschino,MERGE,Moschino,<p>Discover the Moschino collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Moschino
italia-independent,MERGE,Italia Independent,<p>Discover the Italia Independent collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Italia Independent
burberry,MERGE,Burberry,<p>Discover the Burberry collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Burberry
hugo-boss,MERGE,Hugo Boss,<p>Discover the Hugo Boss collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Hugo Boss
laura-biagiotti,MERGE,Laura Biagiotti,<p>Discover the Laura Biagiotti collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Laura Biagiotti
jimmy-choo,MERGE,Jimmy Choo,<p>Discover the Jimmy Choo collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Jimmy Choo
calvin-klein-jeans,MERGE,Calvin Klein Jeans,<p>Discover the Calvin Klein Jeans collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Calvin Klein Jeans
givenchy,MERGE,Givenchy,<p>Discover the Givenchy collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,vendor,equals,Givenchy
